attacks,muslimtherm,persmuslim,radconcernus,radconcernworld,white,edu,partyid,date,age,christian,CA,muslim,female
0,50,50,35,35,1,3,6,04nov2015,34,0,0,0,1
0,40,80,25,75,0,3,4,04nov2015,19,0,0,0,0
0,80,90,80,90,1,5,1,04nov2015,48,1,0,0,1
0,,76,27,17,1,3,4,04nov2015,21,0,1,0,1
0,60,77,,,,,,04nov2015,,0,1,0,
0,28,86,100,100,1,3,3,04nov2015,47,1,0,0,0
0,28,69,77,83,0,4,4,04nov2015,61,0,0,0,1
0,100,100,100,100,1,5,1,04nov2015,32,1,0,0,0
0,83,88,99,79,1,5,4,04nov2015,37,1,0,0,0
0,14,87,7,80,1,4,3,04nov2015,34,1,0,0,0
0,34,59,27,85,1,5,6,04nov2015,41,0,0,0,0
0,65,66,25,78,1,5,2,04nov2015,22,1,0,0,0
0,27,67,93,89,1,5,2,04nov2015,25,1,0,0,0
0,50,50,70,94,1,5,6,04nov2015,30,1,0,0,0
0,61,91,40,56,1,5,5,04nov2015,24,0,0,0,0
0,85,90,55,95,1,6,6,04nov2015,51,1,0,0,1
0,23,51,55,57,1,5,2,04nov2015,25,1,0,0,1
0,50,50,50,75,1,3,4,04nov2015,21,0,0,0,1
0,51,69,90,64,1,5,3,04nov2015,26,1,1,0,0
0,86,100,100,100,1,3,5,04nov2015,39,0,0,0,0
0,59,96,26,50,0,6,7,04nov2015,27,1,0,0,1
0,54,47,44,68,1,5,3,04nov2015,28,1,0,0,1
0,40,55,10,20,1,5,1,04nov2015,37,1,0,0,0
0,65,80,80,98,1,5,7,04nov2015,41,0,0,0,1
0,65,80,10,60,1,5,5,04nov2015,52,0,0,0,1
0,27,70,93,84,0,5,3,04nov2015,39,1,0,0,0
0,40,80,20,80,1,4,2,04nov2015,28,0,0,0,0
0,100,41,100,100,1,3,7,04nov2015,25,1,0,0,1
0,68,84,100,100,1,5,6,04nov2015,64,1,0,0,0
0,70,39,19,18,0,3,7,04nov2015,27,0,1,0,1
0,50,63,76,67,1,4,5,04nov2015,33,1,0,0,1
0,0,0,100,100,1,4,1,04nov2015,42,1,0,0,0
0,100,100,40,40,1,3,7,04nov2015,32,0,0,0,1
0,5,7,100,84,1,2,2,04nov2015,53,1,0,0,1
0,0,50,35,66,1,3,6,04nov2015,47,0,1,0,0
0,50,100,100,50,1,5,6,04nov2015,57,0,0,0,0
0,95,100,40,60,1,3,4,04nov2015,20,0,0,0,1
0,100,100,25,100,0,3,2,04nov2015,19,0,0,1,0
0,50,50,75,75,1,4,4,04nov2015,39,0,0,0,0
0,69,50,54,54,0,4,6,04nov2015,25,1,1,0,1
0,97,97,68,85,1,2,7,04nov2015,62,1,0,0,1
0,,100,63,17,1,3,1,04nov2015,23,1,0,0,0
